date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:39	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202017%2007:36:39%20GMT	http://maniac.yakuzi.eu/robots.txt		(from )
13:06:40	43560/43560	---M-Z	200	added ('OK')	text/html	etag:%22aa28-5497ed07bc88d-gzip%22	http://maniac.yakuzi.eu/	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/index.html	(from )
13:06:41	117150/117150	---M-Z	200	added ('OK')	text/css	etag:%221c99e-5497ec50d81e2-gzip%22	http://maniac.yakuzi.eu/assets/plugins/bootstrap/css/bootstrap.min.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://maniac.yakuzi.eu/)
13:06:41	51284/51284	---M-Z	200	added ('OK')	text/css	etag:%22c854-5497ecf1523c6-gzip%22	http://maniac.yakuzi.eu/assets/plugins/ionicons/css/ionicons.min.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/ionicons/css/ionicons.min.css	(from http://maniac.yakuzi.eu/)
13:06:41	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%225cbb-5497ecc5ebd93-gzip%22	http://maniac.yakuzi.eu/assets/plugins/font-awesome/css/font-awesome.min.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/font-awesome/css/font-awesome.min.css	(from http://maniac.yakuzi.eu/)
13:06:41	72922/72922	---M-Z	200	added ('OK')	text/css	etag:%2211cda-5497ec4e846a4-gzip%22	http://maniac.yakuzi.eu/assets/plugins/animate/animate.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/animate/animate.css	(from http://maniac.yakuzi.eu/)
13:06:42	4165/4165	---M-Z	200	added ('OK')	text/css	etag:%221045-5497ec64cb88f-gzip%22	http://maniac.yakuzi.eu/assets/plugins/bootstrap-slider/css/slider.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrap-slider/css/slider.css	(from http://maniac.yakuzi.eu/)
13:06:42	6102/6102	---M-Z	200	added ('OK')	text/css	etag:%2217d6-5497ecfc33669-gzip%22	http://maniac.yakuzi.eu/assets/plugins/rickshaw/rickshaw.min.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/rickshaw/rickshaw.min.css	(from http://maniac.yakuzi.eu/)
13:06:42	692/692	---M-Z	200	added ('OK')	text/css	etag:%222b4-5497ecf57ca54-gzip%22	http://maniac.yakuzi.eu/assets/plugins/jquery-jvectormap/jquery-jvectormap-1.2.2.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/jquery-jvectormap/jquery-jvectormap-1.2.2.css	(from http://maniac.yakuzi.eu/)
13:06:42	6478/6478	---M-Z	200	added ('OK')	text/css	etag:%22194e-5497ec59c92da-gzip%22	http://maniac.yakuzi.eu/assets/plugins/bootstrap-daterangepicker/daterangepicker-bs3.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrap-daterangepicker/daterangepicker-bs3.css	(from http://maniac.yakuzi.eu/)
13:06:42	58226/58226	---M-Z	200	added ('OK')	text/css	etag:%22e372-5497ec487b7ea-gzip%22	http://maniac.yakuzi.eu/assets/css/material.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/css/material.css	(from http://maniac.yakuzi.eu/)
13:06:43	50921/50921	---M-Z	200	added ('OK')	text/css	etag:%22c6e9-5497ec492c409-gzip%22	http://maniac.yakuzi.eu/assets/css/style.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/css/style.css	(from http://maniac.yakuzi.eu/)
13:06:43	5722/5722	---M-Z	200	added ('OK')	text/css	etag:%22165a-5497ec48aa5ea-gzip%22	http://maniac.yakuzi.eu/assets/css/plugins.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/css/plugins.css	(from http://maniac.yakuzi.eu/)
13:06:43	14179/14179	---M-Z	200	added ('OK')	text/css	etag:%223763-5497ec483916a-gzip%22	http://maniac.yakuzi.eu/assets/css/helpers.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/css/helpers.css	(from http://maniac.yakuzi.eu/)
13:06:43	4852/4852	---M-Z	200	added ('OK')	text/css	etag:%2212f4-5497ec48dc2ca-gzip%22	http://maniac.yakuzi.eu/assets/css/responsive.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/css/responsive.css	(from http://maniac.yakuzi.eu/)
13:06:44	43560/43560	---M-Z	200	added ('OK')	text/html	etag:%22aa28-5497ed07bc88d-gzip%22	http://maniac.yakuzi.eu/index.html	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/index-2.html	(from http://maniac.yakuzi.eu/)
13:06:49	52136/52136	---M--	200	added ('OK')	image/jpeg	etag:%22cba8-5497ec4a1e708%22	http://maniac.yakuzi.eu/assets/img/avatar.jpg	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/img/avatar.jpg	(from http://maniac.yakuzi.eu/)
13:06:50	3857/3857	---M-Z	200	added ('OK')	text/html	etag:%22f11-5497ed084928f-gzip%22	http://maniac.yakuzi.eu/login.html	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/login.html	(from http://maniac.yakuzi.eu/)
13:06:50	40633/40633	---M-Z	200	added ('OK')	text/html	etag:%229eb9-5497ed077ffcc-gzip%22	http://maniac.yakuzi.eu/inbox.html	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/inbox.html	(from http://maniac.yakuzi.eu/)
13:06:50	46031/46031	---M-Z	200	added ('OK')	text/html	etag:%22b3cf-5497ed08fae51-gzip%22	http://maniac.yakuzi.eu/panels.html	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/panels.html	(from http://maniac.yakuzi.eu/)
13:06:50	41996/41996	---M-Z	200	added ('OK')	text/html	etag:%22a40c-5497ed09e0634-gzip%22	http://maniac.yakuzi.eu/tiles.html	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/tiles.html	(from http://maniac.yakuzi.eu/)
13:06:51	39088/39088	---M-Z	200	added ('OK')	text/html	etag:%2298b0-5497ed0a49db5-gzip%22	http://maniac.yakuzi.eu/typography.html	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/typography.html	(from http://maniac.yakuzi.eu/)
13:06:51	66224/66224	---M-Z	200	added ('OK')	text/html	etag:%22102b0-5497ed0885b4f-gzip%22	http://maniac.yakuzi.eu/material.html	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/material.html	(from http://maniac.yakuzi.eu/)
13:06:51	218993/218993	---M-Z	200	added ('OK')	text/html	etag:%2235771-5497ed074a46c-gzip%22	http://maniac.yakuzi.eu/icons.html	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/icons.html	(from http://maniac.yakuzi.eu/)
